/home/plusai/personal/osqp/cmake-build-debug/osqp
INITIALIZATION FINISHED. 
DEFAULT SETTING FINISHED. 
UPDATE FINISHED. 
_update_xztilde: 0.000276 
_update_xyz: 0.000038 
_update_info: 0.000580 
_update_xztilde: 0.000112 
_update_xyz: 0.000031 
_update_info: 0.000718 
_update_xztilde: 0.000106 
_update_xyz: 0.000030 
_update_info: 0.000722 
_update_xztilde: 0.000104 
_update_xyz: 0.000030 
_update_info: 0.000721 
_update_xztilde: 0.000104 
_update_xyz: 0.000031 
_update_info: 0.000722 
_update_xztilde: 0.000104 
_update_xyz: 0.000031 
_update_info: 0.000730 
_update_xztilde: 0.000105 
_update_xyz: 0.000031 
_update_info: 0.000721 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000721 
_update_xztilde: 0.000104 
_update_xyz: 0.000030 
_update_info: 0.000721 
_update_xztilde: 0.000105 
_update_xyz: 0.000030 
_update_info: 0.000722 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000722 
_update_xztilde: 0.000104 
_update_xyz: 0.000030 
_update_info: 0.000719 
_update_xztilde: 0.000103 
_update_xyz: 0.000031 
_update_info: 0.000721 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000720 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000721 
_update_xztilde: 0.000102 
_update_xyz: 0.000030 
_update_info: 0.000726 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000723 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000721 
_update_xztilde: 0.000102 
_update_xyz: 0.000030 
_update_info: 0.000729 
_update_xztilde: 0.000107 
_update_xyz: 0.000031 
_update_info: 0.000715 
_update_xztilde: 0.000104 
_update_xyz: 0.000030 
_update_info: 0.000720 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000720 
_update_xztilde: 0.000105 
_update_xyz: 0.000030 
_update_info: 0.000720 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000720 
_update_xztilde: 0.000103 
_update_xyz: 0.000030 
_update_info: 0.000730 
_update_xztilde: 0.000103 
_update_xyz: 0.000031 
_update_info: 0.000720 
_update_xztilde: 0.000100 
_update_xyz: 0.000029 
_update_info: 0.000719 
_update_xztilde: 0.000100 
_update_xyz: 0.000030 
_update_info: 0.000728 
_update_xztilde: 0.000101 
_update_xyz: 0.000029 
_update_info: 0.000721 
_update_xztilde: 0.000105 
_update_xyz: 0.000029 
_update_info: 0.000729 
_update_xztilde: 0.000100 
_update_xyz: 0.000030 
_update_info: 0.000720 
_update_xztilde: 0.000100 
_update_xyz: 0.000030 
_update_info: 0.000728 
_update_xztilde: 0.000101 
_update_xyz: 0.000029 
_update_info: 0.000737 
_update_xztilde: 0.000100 
_update_xyz: 0.000029 
_update_info: 0.000722 
_update_xztilde: 0.000101 
