/home/plusai/personal/osqp/cmake-build-debug/osqp
INITIALIZATION FINISHED. 
DEFAULT SETTING FINISHED. 
UPDATE FINISHED. 
_update_xztilde: 0.000129 
_update_xyz: 0.000047 
_update_info: 0.000082 
_update_xztilde: 0.000041 
_update_xyz: 0.000038 
_update_info: 0.000073 
_update_xztilde: 0.000041 
_update_xyz: 0.000039 
_update_info: 0.000069 
_update_xztilde: 0.000039 
_update_xyz: 0.000038 
_update_info: 0.000068 
_update_xztilde: 0.000040 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000067 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000040 
_update_xyz: 0.000037 
_update_info: 0.000066 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000067 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000067 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000066 
_update_xztilde: 0.000039 
_update_xyz: 0.000038 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000071 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000067 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000067 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000076 
_update_xztilde: 0.000040 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000040 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000066 
_update_xztilde: 0.000038 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000038 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000066 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000067 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000067 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000069 
_update_xztilde: 0.000038 
_update_xyz: 0.000037 
_update_info: 0.000068 
_update_xztilde: 0.000039 
_update_xyz: 0.000037 
_update_info: 0.000066 
_update_xztilde: 0.000039 
